Edad;SEXO;ALERTASROJAS;ALERTASNARANJAS;ALERTASACADEMICAS;ALERTASMANUALES;CAL.PSICOSOCIAL;CAL.FAMILIAR;CAL.SOCIECONOMICO;CAL.ACADEMICO;CRÉDITOS REPROBADOS;CRÉDITOS APROBADOS;CRÉDITOS CANCELADOS;CREDITOS INTENTADOS;PROMEDIO GLOBAL;ULTIMO ESTADO ACADÉMICO;APOYOS ECONÓMICO EN MATRICULA;APOYO INSTITUCIONAL;DESERSIÓN
21;M;14;17;0;0;10,31;28,21;22,37;10,61;3;65;0;68;3,832058824;Estado académico normal;SI;SI;NO
21;F;14;15;0;0;5,15;28,21;22,37;15,15;15;84;9;108;3,614646465;Estado académico normal;SI;SI;NO
19;F;13;19;0;0;8,25;28,21;21,05;15,15;6;8;3;17;2,855;Advertencia académica;SI;SI;SI
20;F;12;18;0;0;9,28;35,9;15,79;10,61;3;44;3;50;3,80893617;Estado académico normal;SI;NO;NO
20;F;12;14;0;0;10,31;17,95;23,68;4,55;0;149;4;153;4,202684564;Estado académico normal;SI;SI;NO
21;F;12;17;0;0;5,15;20,51;30,26;7,58;3;57;21;81;3,569;Estado académico normal;SI;SI;NO
22;M;12;18;0;0;14,43;25,64;14,47;10,61;12;5;3;20;2,501176471;Suspensión académica;SI;NO;SI
18;F;11;19;0;0;10,31;20,51;17,11;15,15;0;51;0;51;4,01745098;Estado académico normal;SI;NO;NO
21;F;10;18;0;0;7,22;28,21;19,74;7,58;0;149;0;149;4,28033557;Estado académico normal;NO;SI;NO
20;F;10;9;0;0;2,06;12,82;15,79;9,09;0;95;3;98;3,968736842;Estado académico normal;SI;SI;NO
18;M;9;21;0;0;10,31;17,95;13,16;18,18;6;11;0;17;3,229411765;Estado académico normal;SI;NO;SI
21;F;9;20;0;0;10,31;20,51;21,05;6,06;15;95;18;128;3,747090909;Estado académico normal;SI;NO;NO
22;M;8;14;0;0;3,09;17,95;19,74;9,09;15;85;55;155;3,5235;Advertencia académica;SI;SI;NO
20;F;8;16;0;0;4,12;12,82;25;6,06;0;85;0;85;4,138705882;Estado académico normal;NO;SI;NO
18;F;8;19;0;0;4,12;23,08;14,47;16,67;0;52;6;58;3,988653846;Estado académico normal;SI;NO;NO
21;F;7;18;0;0;6,19;23,08;14,47;9,09;0;116;6;122;3,980517241;Estado académico normal;SI;SI;NO
20;M;7;12;0;0;11,34;23,08;5,26;4,55;4;29;28;61;3,491818182;Estado académico normal;NO;SI;NO
18;F;7;7;0;0;2,06;10,26;18,42;1,52;0;17;0;17;3,747647059;Estado académico normal;SI;SI;NO
18;F;7;19;0;0;10,31;10,26;17,11;9,09;3;40;6;49;3,700697674;Estado académico normal;SI;SI;NO
20;M;6;8;0;0;2,06;2,56;17,11;6,06;0;89;0;89;4,325280899;Estado académico normal;SI;SI;NO
21;F;6;13;0;0;5,15;23,08;11,84;3,03;3;149;0;152;4,144736842;Estado académico normal;SI;SI;NO
19;F;6;10;0;0;2,06;2,56;17,11;3,03;0;34;0;34;3,941176471;Estado académico normal;SI;NO;NO
21;M;5;14;0;0;3,09;15,38;9,21;12,12;4;37;25;66;3,851707317;Estado académico normal;NO;SI;NO
18;F;5;11;0;0;4,12;5,13;13,16;4,55;0;50;0;50;4,1602;Estado académico normal;SI;NO;NO
19;F;5;10;0;0;3,09;10,26;10,53;7,58;0;37;0;37;4,281621622;Estado académico normal;SI;SI;NO
20;F;5;18;0;0;3,09;10,26;22,37;6,06;12;112;0;124;3,887177419;Estado académico normal;SI;SI;NO
18;F;4;14;0;0;4,12;10,26;10,53;9,09;0;51;0;51;4,178431373;Estado académico normal;SI;NO;NO
19;M;4;11;0;0;1,03;10,26;6,58;13,64;6;6;5;17;3,024166667;Estado académico normal;NO;SI;SI
18;M;4;8;0;0;2,06;10,26;2,63;12,12;2;0;0;2;1,175;Estado académico normal;SI;NO;NO
18;F;4;11;0;0;3,09;5,13;14,47;4,55;3;11;3;17;3,336428571;Estado académico normal;SI;SI;NO
18;F;4;11;0;0;3,09;10,26;11,84;4,55;0;50;0;50;4,2666;Estado académico normal;SI;NO;NO
21;F;4;10;0;0;2,06;12,82;13,16;1,52;3;152;6;161;4,106645161;Estado académico normal;SI;SI;NO
19;M;4;10;0;0;4,12;5,13;13,16;3,03;0;85;0;85;4,448352941;Estado académico normal;SI;NO;NO
21;M;4;15;0;0;6,19;15,38;10,53;4,55;0;47;0;47;3,975957447;Estado académico normal;NO;NO;NO
21;F;3;9;0;0;0;7,69;13,16;3,03;0;164;3;167;4,297865854;Estado académico normal;SI;SI;NO
18;F;3;9;0;0;2,06;7,69;11,84;1,52;0;50;0;50;4,6126;Estado académico normal;SI;NO;NO
17;F;3;11;0;0;7,22;5,13;5,26;6,06;0;17;0;17;3,404117647;Estado académico normal;NO;SI;NO
19;F;3;9;0;0;3,09;2,56;11,84;3,03;0;31;0;31;3,997419355;Estado académico normal;SI;NO;NO
18;M;3;5;0;0;0;0;0;0;0;30;0;30;3,828666667;Estado académico normal;SI;NO;SI
17;M;3;19;0;0;7,22;12,82;7,89;10,61;5;45;0;50;3,7448;Estado académico normal;SI;NO;NO
18;M;3;6;0;0;0;0;0;0;2;58;2;62;3,9215;Estado académico normal;SI;NO;NO
17;M;3;8;0;0;2,06;12,82;3,95;6,06;2;18;0;20;3,266;Estado académico normal;SI;SI;NO
18;M;3;7;0;0;4,12;7,69;3,95;4,55;0;17;0;17;3,706470588;Estado académico normal;NO;SI;NO
18;F;3;13;0;0;5,15;10,26;5,26;9,09;0;9;3;12;3,491111111;Estado académico normal;NO;SI;NO
18;F;2;11;0;0;2,06;5,13;10,53;4,55;3;14;0;17;3,407058824;Estado académico normal;SI;SI;NO
19;F;2;8;0;0;2,06;2,56;5,26;7,58;6;32;3;41;3,910526316;Estado académico normal;SI;NO;NO
19;F;2;14;0;0;4,12;2,56;10,53;7,58;0;34;0;34;4,020882353;Estado académico normal;NO;NO;NO
22;M;2;13;0;0;2,06;7,69;1,32;16,67;0;34;0;34;3,898823529;Estado académico normal;NO;NO;NO
19;M;2;8;0;0;3,09;2,56;7,89;3,03;9;40;3;52;3,371836735;Estado académico normal;NO;NO;NO
19;M;2;14;0;0;2,06;10,26;10,53;6,06;0;34;0;34;3,807352941;Estado académico normal;SI;NO;NO
18;F;2;9;0;0;3,09;2,56;7,89;4,55;0;34;0;34;3,756176471;Estado académico normal;SI;NO;NO
17;F;2;9;0;0;3,09;2,56;9,21;3,03;0;17;0;17;3,982941176;Estado académico normal;SI;SI;NO
20;M;2;10;0;0;2,06;7,69;5,26;7,58;3;41;4;48;3,519318182;Estado académico normal;NO;NO;NO
18;F;2;8;0;0;0;0;0;0;3;45;0;48;4,122916667;Estado académico normal;SI;SI;NO
19;M;2;11;0;0;0;7,69;6,58;10,61;0;50;0;50;4,239;Estado académico normal;SI;NO;NO
17;F;1;6;0;0;7,22;12,82;17,11;0;0;17;0;17;3,678235294;Estado académico normal;SI;SI;NO
18;M;1;11;0;0;3,09;2,56;6,58;6,06;1;14;2;17;3,547333333;Estado académico normal;SI;SI;NO
19;F;1;9;0;0;1,03;5,13;6,58;4,55;0;71;3;74;3,759577465;Estado académico normal;SI;SI;NO
18;M;1;10;0;0;3,09;5,13;3,95;6,06;4;4;9;17;3,07125;Estado académico normal;NO;SI;NO
17;F;1;4;0;0;2,06;0;1,32;4,55;3;9;3;15;3,294166667;Estado académico normal;SI;SI;NO
20;M;1;7;0;0;0;2,56;3,95;7,58;0;52;3;55;3,705;Estado académico normal;SI;SI;NO
19;F;1;10;0;0;3,09;2,56;5,26;6,06;0;47;3;50;4,138510638;Estado académico normal;NO;SI;NO
18;F;1;5;0;0;0;0;6,58;3,03;0;34;0;34;4,531176471;Estado académico normal;SI;NO;NO
19;M;1;22;0;0;9,28;7,69;6,58;10,61;6;8;3;17;3,281428571;Estado académico normal;NO;SI;NO
18;F;1;6;0;0;1,03;5,13;3,95;3,03;0;60;0;60;3,732333333;Estado académico normal;SI;NO;NO
18;M;1;11;0;0;3,09;0;3,95;10,61;3;43;3;49;3,519130435;Estado académico normal;NO;NO;NO
18;M;1;6;0;0;3,09;2,56;3,95;1,52;7;34;6;47;3,260487805;Advertencia académica;SI;NO;NO
20;F;1;12;0;0;1,03;10,26;7,89;4,55;0;111;0;111;4,062522523;Estado académico normal;SI;SI;NO
18;F;1;11;0;0;3,09;2,56;0;13,64;0;19;0;19;3,808421053;Estado académico normal;SI;SI;NO
17;M;1;3;0;0;1,03;2,56;2,63;1,52;7;14;0;21;3,156666667;Advertencia académica;SI;SI;NO
18;F;0;15;0;0;5,15;2,56;5,26;7,58;3;14;0;17;3,304117647;Estado académico normal;NO;SI;NO
19;M;0;6;0;0;1,03;0;2,63;4,55;0;68;0;68;4,241323529;Estado académico normal;NO;SI;SI
18;N;0;9;0;0;2,06;5,13;3,95;3,03;0;17;0;17;3,77;Estado académico normal;SI;SI;NO
19;M;0;7;0;0;1,03;0;6,58;1,52;1;46;3;50;3,68212766;Estado académico normal;SI;NO;NO
17;M;0;5;0;0;0;2,56;3,95;1,52;0;17;0;17;3,828823529;Estado académico normal;SI;SI;NO
17;M;0;7;0;0;7,22;12,82;17,11;0;0;17;0;17;3,387647059;Estado académico normal;SI;SI;NO
19;F;16;17;0;0;13,4;35,9;23,68;6,06;12;34;33;79;3,471956522;Estado académico normal;SI;SI;NO
27;M;15;28;0;0;16,49;20,51;18,42;30,3;24;114;42;180;3,158550725;Estado académico normal;NO;SI;NO
20;F;15;17;0;0;11,34;25,64;23,68;12,12;0;65;6;71;4,067538462;Estado académico normal;SI;SI;NO
19;M;14;18;0;0;11,34;23,08;26,32;7,58;0;82;3;85;3,94097561;Estado académico normal;SI;SI;NO
21;F;14;33;0;0;14,43;15,38;28,95;28,79;34;78;44;156;3,207321429;Estado académico normal;SI;SI;NO
18;M;13;18;0;0;4,12;17,95;34,21;10,61;3;13;14;30;3,44875;Estado académico normal;SI;SI;SI
19;F;12;23;0;0;15,46;30,77;17,11;10,61;2;37;6;45;3,810769231;Estado académico normal;SI;SI;NO
19;M;12;26;0;0;10,31;12,82;22,37;27,27;5;85;28;118;3,832777778;Estado académico normal;SI;NO;NO
21;M;12;20;0;0;11,34;15,38;26,32;10,61;24;66;30;120;3,214222222;Estado académico normal;SI;SI;NO
17;M;12;16;0;0;17,53;15,38;15,79;7,58;0;16;0;16;3,7675;Estado académico normal;SI;SI;NO
19;F;12;21;0;0;13,4;17,95;19,74;15,15;13;94;8;115;3,581869159;Estado académico normal;SI;SI;NO
21;M;12;16;0;0;8,25;15,38;17,11;18,18;4;89;0;93;3,561182796;Estado académico normal;SI;SI;NO
19;M;11;13;0;0;9,28;10,26;14,47;16,67;5;73;5;83;3,509230769;Estado académico normal;SI;SI;NO
21;F;11;24;0;0;11,34;17,95;17,11;22,73;14;69;21;104;3,590361446;Advertencia académica;SI;SI;NO
21;M;11;18;0;0;7,22;17,95;21,05;15,15;15;76;12;103;3,62010989;Estado académico normal;SI;SI;NO
20;M;11;17;0;0;4,12;12,82;30,26;10,61;15;66;6;87;3,319876543;Advertencia académica;NO;SI;NO
19;M;10;20;0;0;16,49;17,95;5,26;19,7;0;58;0;58;3,824310345;Estado académico normal;NO;SI;NO
20;M;10;18;0;0;8,25;10,26;22,37;13,64;0;85;3;88;4,075176471;Estado académico normal;SI;SI;NO
19;F;10;22;0;0;14,43;17,95;18,42;10,61;7;49;26;82;3,549107143;Estado académico normal;SI;SI;NO
20;M;10;24;0;0;9,28;17,95;17,11;22,73;18;64;34;116;3,268902439;Primer reingreso;SI;SI;NO
20;M;10;17;0;0;13,4;15,38;14,47;10,61;10;70;7;87;3,544625;Advertencia académica;NO;SI;NO
19;F;10;21;0;0;11,34;28,21;13,16;15,15;10;59;12;81;3,484492754;Estado académico normal;SI;SI;NO
21;M;10;15;0;0;6,19;23,08;21,05;6,06;0;150;0;150;4,031533333;Estado académico normal;SI;SI;NO
22;M;9;16;0;0;2,06;17,95;15,79;7,58;31;86;39;156;3,437435897;Advertencia académica;SI;SI;NO
17;M;9;9;0;0;6,19;7,69;19,74;4,55;0;16;0;16;3,636875;Estado académico normal;NO;SI;NO
20;F;9;19;0;0;9,28;25,64;11,84;13,64;0;10;9;19;4,187;Estado académico normal;NO;SI;NO
21;M;9;16;0;0;10,31;20,51;14,47;7,58;12;98;23;133;3,753545455;Advertencia académica;SI;SI;NO
20;M;9;16;0;0;11,34;15,38;14,47;9,09;0;75;10;85;3,4648;Estado académico normal;SI;SI;NO
17;F;9;12;0;0;4,12;5,13;22,37;10,61;0;16;0;16;3,8875;Estado académico normal;NO;NO;NO
19;M;8;16;0;0;1,03;30,77;18,42;7,58;12;27;10;49;3,258974359;Advertencia académica;SI;SI;SI
20;M;8;11;0;0;6,19;15,38;14,47;4,55;0;110;0;110;4,189636364;Estado académico normal;NO;NO;NO
21;M;8;17;0;0;7,22;10,26;14,47;7,58;13;119;14;146;3,693939394;Estado académico normal;SI;SI;NO
18;M;8;14;0;0;11,34;10,26;15,79;4,55;21;12;17;50;2,550909091;Advertencia académica;SI;SI;NO
24;M;8;11;0;0;1,03;15,38;17,11;3,03;20;150;19;189;3,639117647;Estado académico normal;SI;SI;NO
19;M;8;19;0;0;4,12;15,38;18,42;16,67;2;76;3;81;3,728974359;Estado académico normal;SI;SI;NO
27;M;8;19;0;0;5,15;15,38;15,79;18,18;17;100;43;160;3,292136752;Primer reingreso;SI;NO;NO
18;M;8;17;0;0;9,28;12,82;18,42;7,58;5;27;2;34;3,28125;Estado académico normal;NO;NO;NO
21;M;8;8;0;0;2,06;5,13;13,16;15,15;17;42;50;109;3,121355932;Segundo reingreso;SI;SI;NO
22;M;8;13;0;0;5,15;10,26;23,68;3,03;2;149;11;162;3,972980132;Estado académico normal;SI;NO;NO
21;M;8;28;0;0;11,34;15,38;17,11;21,21;16;53;40;109;3,142463768;Segunda suspensión académica;SI;SI;SI
20;M;8;20;0;0;11,34;7,69;14,47;16,67;30;54;9;93;2,955238095;Suspensión académica;SI;SI;NO
22;F;8;14;0;0;1,03;15,38;25;6,06;11;135;3;149;3,701780822;Estado académico normal;SI;SI;NO
20;M;7;17;0;0;5,15;10,26;17,11;13,64;7;41;9;57;3,601458333;Estado académico normal;SI;NO;NO
19;M;7;4;0;0;4,12;7,69;11,84;3,03;0;82;0;82;4,540365854;Estado académico normal;SI;NO;NO
22;M;7;21;0;0;10,31;10,26;19,74;9,09;7;0;0;7;0,931428571;Advertencia académica;NO;SI;NO
21;M;7;17;0;0;7,22;12,82;17,11;12,12;9;134;10;153;3,812237762;Estado académico normal;SI;SI;NO
21;M;7;13;0;0;9,28;15,38;13,16;3,03;11;91;2;104;3,566666667;Estado académico normal;SI;SI;NO
18;M;7;16;0;0;3,09;12,82;15,79;15,15;4;29;0;33;3,385151515;Estado académico normal;SI;NO;NO
21;F;7;14;0;0;5,15;15,38;17,11;6,06;3;134;0;137;3,796934307;Estado académico normal;SI;NO;NO
19;F;7;27;0;0;13,4;2,56;11,84;7,58;3;45;31;79;3,674375;Estado académico normal;NO;SI;NO
18;F;7;9;0;0;2,06;7,69;17,11;3,03;0;50;0;50;3,8088;Estado académico normal;SI;SI;NO
18;M;7;9;0;0;9,28;10,26;6,58;7,58;0;16;0;16;3,89625;Estado académico normal;SI;SI;NO
20;M;7;13;0;0;2,06;7,69;17,11;3,03;2;106;7;115;3,998055556;Estado académico normal;SI;SI;NO
21;M;7;16;0;0;5,15;7,69;15,79;15,15;0;75;8;83;3,8288;Estado académico normal;SI;SI;NO
18;M;7;16;0;0;13,4;12,82;5,26;12,12;0;46;3;49;3,802608696;Estado académico normal;NO;NO;NO
18;M;7;15;0;0;3,09;7,69;11,84;9,09;0;49;0;49;4,587142857;Estado académico normal;SI;SI;NO
19;F;7;15;0;0;7,22;12,82;11,84;12,12;15;91;11;117;3,458113208;Estado académico normal;SI;NO;NO
19;F;7;13;0;0;6,19;5,13;15,79;10,61;2;77;2;81;3,943164557;Estado académico normal;SI;NO;NO
20;M;7;23;0;0;6,19;20,51;14,47;18,18;4;84;17;105;3,435113636;Advertencia académica;SI;SI;NO
18;M;7;7;0;0;2,06;20,51;7,89;7,58;4;6;6;16;3,349;Estado académico normal;NO;SI;NO
17;M;6;12;0;0;3,09;17,95;15,79;3,03;0;16;0;16;3,905625;Estado académico normal;SI;SI;NO
19;F;6;17;0;0;11,34;5,13;7,89;15,15;6;4;6;16;2,938;Advertencia académica;NO;NO;SI
17;F;6;17;0;0;15,46;5,13;9,21;7,58;13;0;3;16;1,760769231;Advertencia académica;NO;SI;SI
18;F;6;12;0;0;3,09;7,69;15,79;9,09;3;23;3;29;3,327692308;Estado académico normal;SI;SI;NO
18;F;6;11;0;0;5,15;17,95;10,53;4,55;0;7;9;16;3,784285714;Estado académico normal;SI;NO;NO
21;M;6;19;0;0;3,09;5,13;22,37;13,64;14;63;51;128;3,455584416;Estado académico normal;SI;SI;NO
19;M;6;14;0;0;6,19;7,69;15,79;7,58;10;68;5;83;3,464615385;Estado académico normal;SI;SI;NO
21;F;6;11;0;0;2,06;12,82;15,79;6,06;27;103;24;154;3,423615385;Estado académico normal;SI;SI;NO
22;F;6;17;0;0;5,15;7,69;17,11;12,12;15;104;31;150;3,456554622;Estado académico normal;SI;SI;NO
18;F;6;14;0;0;7,22;12,82;7,89;12,12;7;34;11;52;3,464146341;Estado académico normal;NO;NO;NO
20;M;6;11;0;0;4,12;7,69;18,42;3,03;2;84;0;86;3,75;Estado académico normal;SI;SI;NO
